Encompass Health Rehabilitation Hospital of North Alabama,70,Huntsville,AL
Encompass Health Rehabilitation Hospital of Shelby County,34,Pelham,AL
Evergreen Medical Center,44,Evergreen,AL
Fayette Medical Center,167,Fayette,AL
Flowers Hospital,235,Dothan,AL
Gadsden Regional Medical Center,271,Gadsden,AL
Grandview Medical Center,402,Birmingham,AL
Greene County Health System,92,Eutaw,AL
Grove Hill Memorial Hospital,30,Grove Hill,AL
Hale County Hospital,28,Greensboro,AL
Helen Keller Hospital,178,Sheffield,AL
Highlands Medical Center,95,Scottsboro,AL
Hill Crest Behavioral Health Services,78,Birmingham,AL
Hill Hospital Of Sumter County,33,York,AL
Huntsville Hospital,922,Huntsville,AL
Huntsville Hospital for Women and Children,0,Huntsville,AL
Infirmary Long Term Acute Care Hospital ,22,Mobile,AL
Jack Hughston Memorial Hospital,47,Phenix City,AL
Jackson Hospital,270,Montgomery,AL
Jackson Medical Center,35,Jackson,AL
John Paul Jones Hospital,21,Camden,AL
Lake Martin Community Hospital,46,Dadeville,AL
Lakeland Community Hospital,58,Haleyville,AL
Laurel Oaks Behavioral Health Center,0,Dothan,AL
Lawrence Medical Center,43,Moulton,AL
Madison Hospital,0,Madison,AL
Marshall Medical Center North,90,Guntersville,AL
Marshall Medical Center South,204,Boaz,AL
Mary Starke Harper Geriatric Psychiatry Center,126,Tuscaloosa,AL
Medical Center Barbour,47,Eufaula,AL
Medical Center Enterprise,99,Enterprise,AL
Medical West ,231,Bessemer,AL
Mizell Memorial Hospital,59,Opp,AL
Mobile Infirmary Medical Center,654,Mobile,AL
Monroe County Hospital,49,Monroeville,AL
Mountain View Hospital,68,Gadsden,AL
Noland Hospital Anniston,38,Anniston,AL
Noland Hospital Birmingham,45,Birmingham,AL
Noland Hospital Dothan,38,Dothan,AL
Noland Hospital Montgomery,65,Montgomery,AL
Noland Hospital Tuscaloosa,32,Tuscaloosa,AL
North Alabama Medical Center,223,Florence,AL
North Alabama Shoals Hospital,184,Muscle Shoals,AL
North Alabama Specialty Hospital,31,Athens,AL
North Baldwin Infirmary,48,Bay Minette,AL
North Mississippi Medical Center - Hamilton,115,Hamilton,AL
Northport Medical Center,207,Northport,AL
Northwest Medical Center,52,Winfield,AL
Prattville Baptist Hospital,55,Prattville,AL
Princeton Baptist Medical Center,309,Birmingham,AL
Providence Hospital,349,Mobile,AL
Red Bay Hospital,25,Red Bay,AL
Regional Medical Center of Central Alabama,57,Greenville,AL
Regional Rehabilitation Hospital,58,Phenix City,AL
Riverview Regional Medical Center,281,Gadsden,AL
RMC Anniston,287,Anniston,AL
Russell Medical Center,43,Alexander City,AL
Russellville Hospital,49,Russellville,AL
Saint Vincent's Birmingham,399,Birmingham,AL
Saint Vincent's Blount,25,Oneonta,AL
Saint Vincent's Chilton ,26,Clanton,AL
Saint Vincent's East,345,Birmingham,AL
Saint Vincent's Saint Clair,40,Pell City,AL
Select Specialty Hospital - Birmingham,38,Birmingham,AL
Shelby Baptist Medical Center,252,Alabaster,AL
South Baldwin Regional Medical Center,112,Foley,AL
Southeast Health Medical Center,342,Dothan,AL
Springhill Medical Center,199,Mobile,AL
Tanner Medical Center East Alabama,15,Wedowee,AL
Taylor Hardin Secure Medical Facility,0,Tuscaloosa,AL
The Sanctuary at the Woodlands,80,Cullman,AL
Thomas Hospital,141,Fairhope,AL
Thomasville Regional Medical Center,0,Thomasville,AL
Troy Regional Medical Center,59,Troy,AL
Tuscaloosa VA Medical Center,0,Tuscaloosa,AL
UAB Callahan Eye Hospital,12,Birmingham,AL
UAB Hospital,1242,Birmingham,AL
UAB Hospital - Highlands,73,Birmingham,AL
Unity Psychiatric Care Hunstville,16,Huntsville,AL
USA Children's and Women's Hospital,248,Mobile,AL
USA Health University Hospital ,183,Mobile,AL
Vaughan Regional Medical Center,109,Selma,AL
Walker Baptist Medical Center,259,Jasper,AL
Washington County Hospital and Nursing Home,103,Chatom,AL
Wiregrass Medical Center,185,Geneva,AL
Alaska Native Medical Center,174,Anchorage,AK
Alaska Psychiatric Institute,80,Anchorage,AK
Alaska Regional Hospital,178,Anchorage,AK
Bartlett Regional Hospital,57,Juneau,AK
Central Peninsula General Hospital,109,Soldotna,AK
Chris Kyle Patriots Hospital,0,Anchorage,AK
Cordova Community Medical Center,23,Cordova,AK
Foundation Health Partners Denali Center,0,Fairbanks,AK
Foundation Health Partners Fairbanks Memorial Hospital,212,Fairbanks,AK
JBER Elmendorf  Air Force  Base Hospital,0,Elmendorf Air Force Base,AK
Kanakanak Hospital,16,Dillingham,AK
Maniilaq Health Center,17,Kotzebue,AK
Mat-Su Regional Medical Center,109,Palmer,AK
Mt. Edgecumbe Hospital ,27,Sitka,AK
North Star Hospital,104,Anchorage,AK
Norton Sound Regional Hospital,36,Nome,AK
PeaceHealth Ketchikan Medical Center,54,Ketchikan,AK
Petersburg Medical Center,27,Petersburg,AK
Providence Alaska Medical Center,401,Anchorage,AK
Providence Kodiak Island Medical Center,46,Kodiak Island,AK
Providence Seward Medical and Care Center,46,Seward,AK
Providence Valdez Medical Center,21,Valdez,AK
Saint Elias Specialty Hospital,59,Anchorage,AK
Samuel Simmonds Memorial Hospital,14,Barrow,AK
South Peninsula Hospital,49,Homer,AK
The Children's Hospital at Providence,0,Anchorage,AK
Wrangell Medical Center,22,Wrangell,AK
Yukon-Kuskokwim Delta Regional Hospital,34,Bethel,AK
Abrazo Arizona Heart Hospital,0,Phoenix,AZ
Abrazo Arrowhead Hospital,262,Glendale,AZ
Abrazo Central Campus,156,Phoenix,AZ
Abrazo Mesa Hospital ,0,Mesa,AZ
Abrazo Scottsdale Campus,120,Phoenix,AZ
Abrazo Surprise Hospital,0,Surprise,AZ
Abrazo West Campus,191,Goodyear,AZ
Arizona Specialty Hospital ,24,Chandler,AZ
Arizona Spine and Joint Hospital,23,Mesa,AZ
Arizona State Hospital,159,Phoenix,AZ
Aurora East Hospital,138,Tempe,AZ
Aurora West Hospital,100,Glendale,AZ
Avenir Behavioral Health Center,0,Surprise,AZ
Banner -  University Medical Center Tucson ,625,Tucson,AZ
Banner - University Medical Center Phoenix,746,Phoenix,AZ
Banner - University Medical Center South Campus,162,Tucson,AZ
Banner Baywood Medical Center,340,Mesa,AZ
Banner Behavioral Health Hospital ,156,Scottsdale,AZ
Banner Boswell Medical Center,525,Sun City,AZ
Banner Casa Grande Medical Center,141,Casa Grande,AZ
Banner Children's at Desert,0,Mesa,AZ
Banner Del E. Webb Medical Center,394,Sun City West,AZ
Banner Desert Medical Center,615,Mesa,AZ
Banner Estrella Medical Center,317,Phoenix,AZ
Banner Gateway Medical Center,165,Gilbert,AZ
Banner Goldfield Medical Center  ,20,Apache Junction,AZ
Banner Heart Hospital,111,Mesa,AZ
Banner Ironwood Medical Center,53,Queen Creek,AZ
Banner Ocotillo Medical Center,0,Chandler,AZ
Banner Payson Medical Center,25,Payson,AZ
Banner Rehabilitation Hospital West,0,Peoria,AZ
Banner Thunderbird Medical Center,555,Glendale,AZ
Benson Hospital,22,Benson,AZ
Cancer Treatment Centers of America Phoenix,38,Goodyear,AZ
Canyon Vista Medical Center,94,Sierra Vista,AZ
Carondelet Heart & Vascular Institute,60,Tucson,AZ
Chandler Regional Medical Center,338,Chandler,AZ
ChangePoint Psychiatric Hospital Lakeside,16,Lakeside,AZ
Chinle Comprehensive Health Care Facility,60,Chinle,AZ
Cobalt Rehabilitation Hospital of Surprise,40,Surprise,AZ
Cobre Valley Regional Medical Center,25,Globe,AZ
Copper Queen Community Hospital,14,Bisbee,AZ
Copper Springs ,72,Avondale,AZ
Cornerstone Behavioral Health - El Dorado,36,Tucson,AZ
Cornerstone Specialty Hospitals Tucson,34,Tucson,AZ
Curahealth Phoenix Northwest,58,Phoenix,AZ
Curahealth Tucson,47,Tucson,AZ
Destiny Springs Healthcare,90,Surprise,AZ
Dignity Health Arizona General Hospital Laveen,16,Laveen,AZ
Dignity Health Arizona General Hospital Mesa,50,Mesa,AZ
Dignity Health East Valley Rehabilitation Hospital,50,Chandler,AZ
Encompass Health Rehabilitation Hospital of East Valley,70,Mesa,AZ
Encompass Health Rehabilitation Hospital of Northwest Tucson,60,Tucson,AZ
Encompass Health Rehabilitation Hospital of Scottsdale,60,Scottsdale,AZ
Encompass Health Rehabilitation Institute of Tucson,80,Tucson,AZ
Encompass Health Valley of the Sun Rehabilitation Hospital,75,Glendale,AZ
Flagstaff Medical Center,264,Flagstaff,AZ
Florence Hospital,0,Florence,AZ
Havasu Regional Medical Center,163,Lake Havasu City,AZ
Haven Behavioral Hospital of Phoenix,57,Phoenix,AZ
Holy Cross Hospital,25,Nogales,AZ
HonorHealth Deer Valley Medical Center,204,Phoenix,AZ
HonorHealth John C. Lincoln Medical Center,262,Phoenix,AZ
HonorHealth Rehabilitation Hospital,50,Scottsdale ,AZ
HonorHealth Scottsdale Osborn Medical Center,341,Scottsdale,AZ
HonorHealth Scottsdale Shea Medical Center,427,Scottsdale,AZ
HonorHealth Scottsdale Thompson Peak Medical Center,120,Scottsdale,AZ
HonorHealth Sonoran Crossing Medical Center,0,Phoenix,AZ
Hopi Health Care Center,6,Polacca,AZ
Hu Hu Kam Memorial Hospital,12,Sacaton,AZ
Kingman Regional Medical Center,214,Kingman,AZ
KPC Promise Hospital of Phoenix,48,Mesa,AZ
La Paz Regional Hospital,25,Parker,AZ
Little Colorado Medical Center,25,Winslow,AZ
Mayo Clinic Hospital,271,Phoenix,AZ
Mercy Gilbert Medical Center,198,Gilbert,AZ
Mount Graham Regional  Medical Center,49,Safford,AZ
Mountain Valley Regional Rehabilitation Hospital,44,Prescott Valley,AZ
Mountain Vista Medical Center,161,Mesa,AZ
Navajo Health Foundation/Sage Memorial Hospital,25,Ganado,AZ
Northern Arizona VA Health Care System,0,Prescott,AZ
Northern Cochise Community Hospital,24,Willcox,AZ
Northwest Medical Center,294,Tucson,AZ
Northwest Medical Center Sahuarita,0,Sahuarita,AZ
Oasis Behavioral Health Hospital,146,Chandler,AZ
OASIS Hospital,64,Phoenix,AZ
Oro Valley Hospital,146,Tucson,AZ
Page Hospital,25,Page,AZ
Palo Verde Behavioral Health,84,Tucson,AZ
Parker Indian Hospital,20,Parker,AZ
Phoenix Children's Hospital,457,Phoenix,AZ
Phoenix Indian Medical Center,115,Phoenix,AZ
Phoenix Medical Psychiatric Hospital,0,Phoenix,AZ
Phoenix VA Health Care System,0,Phoenix,AZ
Quail Run Behavioral Health,102,Phoenix,AZ
Rehabilitation Hospital of Northern Arizona,40,Flagstaff,AZ
Saint Joseph's Hospital,486,Tucson,AZ
Saint Joseph's Hospital and Medical Center,553,Phoenix,AZ
Saint Joseph's Westgate Medical Center,0,Glendale,AZ
Saint Luke's Behavioral Health Center,127,Phoenix,AZ
Saint Mary's Hospital ,400,Tucson,AZ
San Carlos Apache Healthcare,8,Peridot,AZ
Santa Cruz Valley Regional Hospital,49,Green Valley,AZ
Select Specialty Hospital - Phoenix,48,Phoenix,AZ
Select Specialty Hospital Phoenix Downtown,0,Phoenix,AZ
Sells Indian Hospital,14,Sells,AZ
Sierra Tucson,0,Tucson,AZ
Sonora Behavioral Health Hospital,140,Tucson,AZ
Southern Arizona VA Health Care System,0,Tucson,AZ
Summit Healthcare Regional Medical Center,89,Show Low,AZ
Tempe Saint Luke's Hospital,65,Tempe,AZ
The CORE Institute Specialty Hospital,32,Phoenix,AZ
The Guidance Center,16,Flagstaff,AZ
Tsehootsooi Medical Center ,56,Fort Defiance,AZ
Tuba City Indian Medical Center,73,Tuba City,AZ
Tucson Medical Center,457,Tucson,AZ
Valley Hospital Phoenix,122,Phoenix,AZ
Valley View Medical Center,84,Fort Mohave,AZ
Valleywise Behavioral Health Center-Maryvale,228,Phoenix,AZ
Valleywise Behavioral Health Center-Mesa,0,Mesa,AZ
Valleywise Health Medical Center,756,Phoenix,AZ
Verde Valley Medical Center,98,Cottonwood,AZ
Verde Valley Medical Center-Sedona Campus,0,Sedona,AZ
Western Arizona Regional Medical Center,139,Bullhead City,AZ
White Mountain Regional Medical Center,21,Springerville,AZ
Whiteriver Indian Hospital,40,Whiteriver,AZ
Wickenburg Community Hospital,19,Wickenburg,AZ
Windhaven Psychiatric Hospital,16,Prescott Valley,AZ
Yavapai Regional Medical Center - East ,56,Prescott Valley,AZ
Yavapai Regional Medical Center - West,206,Prescott,AZ
Yuma Regional Medical Center,406,Yuma,AZ
Yuma Rehabilitation Hospital,51,Yuma,AZ
 Izard County Medical Center,25,Calico Rock,AR
 Northwest Health Physicians' Specialty Hospital,20,Fayetteville,AR
 Unity Health - Harris Medical Center,121,Newport,AR
Advanced Care Hospital of White County ,27,Searcy,AR
Arkansas Children's Hospital,336,Little Rock,AR
Arkansas Children's Northwest,24,Springdale,AR
Arkansas Continued Care Hospital of Jonesboro,44,Jonesboro,AR
Arkansas Heart Hospital,112,Little Rock,AR
Arkansas Methodist Medical Center,129,Paragould,AR
Arkansas State Hospital,230,Little Rock,AR
Arkansas Surgical Hospital,49,North Little Rock,AR
Ashley County Medical Center,35,Crossett,AR
Baptist Health - Conway,111,Conway,AR
Baptist Health - Heber Springs,25,Heber Springs,AR
Baptist Health - Little Rock,822,Little Rock,AR
Baptist Health - North Little Rock,210,North Little Rock,AR
Baptist Health - Stuttgart,49,Stuttgart,AR
Baptist Health Extended Care Hospital,73,Little Rock,AR
Baptist Health Medical Center - Arkadelphia,25,Arkadelphia,AR
Baptist Health Rehabilitation Institute-Little Rock,120,Little Rock,AR
Baptist Health-Fort Smith,303,Fort Smith,AR
Baptist Health-Hot Spring County,65,Malvern,AR
Baptist Health-Van Buren,44,Van Buren,AR
Baptist Memorial Hospital-Crittenden,11,West Memphis,AR
Baxter Regional Medical Center,211,Mountain Home,AR
Bradley County Medical Center,35,Warren,AR
Chambers Memorial Hospital,42,Danville,AR
CHI St. Vincent Hot Springs,229,Hot Springs,AR
CHI St. Vincent Hot Springs Rehabilitation Hospital,40,Hot Springs,AR
CHI St. Vincent Infirmary,387,Little Rock,AR
CHI St. Vincent Morrilton,25,Morrilton,AR
CHI St. Vincent North,68,Sherwood,AR
CHI St. Vincent Sherwood Rehabilitation Hospital,80,Sherwood,AR
Chicot Memorial Medical Center,25,Lake Village,AR
CHRISTUS Dubuis Hospital of Hot Springs,27,Hot Springs,AR
CHRISTUS Dubuis of Fort Smith,25,Fort Smith,AR
Conway Behavioral Health,80,Conway,AR
Conway Regional Medical Center,150,Conway,AR
Conway Regional Rehabilitation Hospital,26,Conway,AR
Cornerstone Specialty Hospitals Little Rock,40,Little Rock,AR
CrossRidge Community Hospital,15,Wynne,AR
Dallas County Medical Center,22,Fordyce,AR
Dardanelle Regional Medical Center,35,Dardanelle,AR
Delta Memorial Hospital,25,Dumas,AR
Dewitt Hospital & Nursing Home,85,De Witt,AR
Drew Memorial Hospital,50,Monticello,AR
Encompass Health Rehabilitation Hospital of Fort Smith,60,Fort Smith,AR
Encompass Health Rehabilitation Hospital of Jonesboro,80,Jonesboro,AR
Encompass Health Rehabilitation Hospital Washington Regional,80,Fayetteville,AR
Eureka Springs Hospital,22,Eureka Springs,AR
Forrest City Medical Center,70,Forrest City,AR
Fulton County Hospital,25,Salem,AR
Great River Medical Center,33,Blytheville,AR
Helena Regional Medical Center,127,Helena,AR
Howard Memorial Hospital,25,Nashville,AR
Jefferson Regional Medical Center,316,Pine Bluff,AR
John L. McClellan Memorial Veterans Hospital,0,Little Rock,AR
Johnson Regional Medical Center,90,Clarksville,AR
Lawrence Memorial Hospital,25,Walnut Ridge,AR
Levi Hospital,53,Hot Springs National Park,AR
Little River Memorial Hospital,25,Ashdown,AR
Magnolia Regional Medical Center,30,Magnolia,AR
McGehee Hospital ,25,McGehee,AR
Medical Center of South Arkansas,131,El Dorado,AR
Mena Regional Health System,65,Mena,AR
Mercy Hospital Berryville,25,Berryville,AR
Mercy Hospital Booneville,24,Booneville,AR
Mercy Hospital Fort Smith,385,Fort Smith,AR
Mercy Hospital Northwest Arkansas,275,Rogers,AR
Mercy Hospital Ozark,25,Ozark,AR
Mercy Hospital Paris,16,Paris,AR
Mercy Hospital Waldron,24,Waldron,AR
Mercy Orthopedic Hospital Fort Smith,0,Fort Smith,AR
Methodist Behavioral Hospital,0,Maumelle,AR
National Park Medical Center,163,Hot Springs,AR
NEA Baptist Memorial Hospital,204,Jonesboro,AR
North Arkansas Regional Medical Center,134,Harrison,AR
Northwest Medical Center - Bentonville,121,Bentonville,AR
Northwest Medical Center - Springdale,308,Springdale,AR
Ouachita County Medical Center,87,Camden,AR
Ozark Health Medical Center,143,Clinton,AR
Ozarks Community Hospital of Gravette,25,Gravette,AR
Perimeter Behavioral Hospital of West Memphis,0,West Memphis,AR
Piggott Community Hospital,25,Piggott,AR
Pinnacle Pointe Hospital,0,Little Rock,AR
Regency Hospital Springdale,25,Springdale,AR
Rivendell Behavioral Health Services of Arkansas,80,Benton,AR
Riverview Behavioral Health,62,Texarkana,AR
Saint Bernards Behavioral Health,60,Jonesboro,AR
Saint Mary's Regional Health System,157,Russellville,AR
Saline Memorial Hospital,161,Benton,AR
Select Specialty Hospital - Fort Smith,34,Fort Smith,AR
Siloam Springs Regional Hospital,44,Siloam Springs,AR
South Mississippi County Regional Medical Center,25,Osceola,AR
Southeast Rehabilitation Hospital,10,Lake Village,AR
Springwoods Behavioral Health,80,Fayetteville,AR
St. Bernards Five Rivers Medical Center,44,Pocahontas,AR
St. Bernards Medical Center,351,Jonesboro,AR
Stone County Medical Center,25,Mountain View,AR
The BridgeWay Hospital,116,North Little Rock,AR
Unity Health- White County Medical Center,283,Searcy,AR
University of Arkansas for Medical Sciences (UAMS) Medical Center,508,Little Rock,AR
Valley Behavioral Health System,114,Barling,AR
Vantage Point Behavioral Health Hospital,114,Fayetteville,AR
Veterans Health Care System of the Ozarks,0,Fayetteville,AR
Wadley Regional Medical Center at Hope,79,Hope,AR
Washington Regional Medical Center,355,Fayetteville,AR
White River Medical Center,212,Batesville,AR
Willow Creek Women's Hospital,30,Johnson,AR
 Adventist Health Saint Helena Center for Behavioral Health,61,Vallejo,CA
 Adventist Health Simi Valley ,144,Simi Valley,CA
 California Department of State Hospitals - Coalinga,0,Coalinga,CA
 California Department of State Hospitals - Napa,151,Napa,CA
 California Department of State Hospitals Salinas Valley Hospital,0,Soledad,CA
 Downey Medical Center,352,Downey,CA
 MarinHealth Medical Center,235,Greenbrae,CA
 Providence Saint John's Health Center,236,Santa Monica,CA
 Woodland Hills Medical Center,274,Woodland Hills,CA
60th Medical Group - David Grant USAF Medical Center,0,Travis Air Force Base,CA
Adventist Health and Rideout,209,Marysville,CA
Adventist Health Bakersfield ,254,Bakersfield,CA
Adventist Health Clear Lake ,25,Clearlake,CA
Adventist Health Delano,109,Delano,CA
Adventist Health Glendale,451,Glendale,CA
Adventist Health Hanford,230,Hanford,CA
Adventist Health Howard Memorial,25,Willits,CA
Adventist Health Lodi Memorial ,194,Lodi,CA
Adventist Health Mendocino Coast,25,Fort Bragg,CA
Adventist Health Reedley,49,Reedley,CA
Adventist Health Saint Helena ,151,Saint Helena,CA
Adventist Health Selma,0,Selma,CA
Adventist Health Sonora,152,Sonora,CA
Adventist Health Tehachapi Valley,25,Tehachapi,CA
Adventist Health Tulare,73,Tulare,CA
Adventist Health Ukiah Valley,50,Ukiah,CA
Adventist Health Vallejo,0,Vallejo,CA
Adventist Health White Memorial,353,Los Angeles,CA
AHMC Anaheim Regional Medical Center,223,Anaheim,CA
AHMC Seton Medical Center,434,Daly City,CA
AHMC Seton Medical Center Coastside,0,Moss Beach,CA
Alameda Hospital,215,Alameda,CA
Alhambra Hospital Medical Center,144,Alhambra,CA
Alta Bates Summit Medical Center,461,Oakland,CA
Alta Bates Summit Medical Center  Herrick Campus,0,Berkeley,CA
Alta Bates Summit Medical Center Alta Bates Campus,407,Berkeley,CA
Alvarado Hospital Medical Center,306,San Diego,CA
Alvarado Parkway Institute,66,La Mesa,CA
Anaheim Global Medical Center,183,Anaheim,CA
Anaheim Medical Center ,477,Anaheim,CA
Antelope Valley Hospital,393,Lancaster,CA
Antioch Medical Center ,138,Antioch,CA
Arden Wood,13,San Francisco,CA
Arrowhead Regional Medical Center,456,Colton,CA
Arroyo Grande Community Hospital,67,Arroyo Grande,CA
Aurora Behavioral Health Care San Diego,95,San Diego,CA
Aurora Charter Oak Hospital,134,Covina,CA
Aurora Santa Rosa Hospital,95,Santa Rosa,CA
Bakersfield Behavioral Healthcare Hospital,90,Bakersfield,CA
Bakersfield Heart Hospital,47,Bakersfield,CA
Bakersfield Memorial Hospital,408,Bakersfield,CA
Baldwin Park Medical Center,257,Baldwin Park,CA
Ballard Rehabilitation Hospital,60,San Bernardino,CA
Banner Lassen Medical Center,25,Susanville,CA
Barlow Respiratory Hospital at PIH Health Hospital Whittier,0,Whittier,CA
Barlow Respiratory Hospital Los Angeles,105,Los Angeles,CA
Barlow Respiratory Hospital San Fernando Valley,0,Van Nuys,CA
Barstow Community Hospital,30,Barstow,CA
Barton Memorial Hospital,111,South Lake Tahoe,CA
Bear Valley Community Hospital ,30,Big Bear Lake,CA
Beverly Hospital,202,Montebello,CA
BHC Alhambra Hospital,97,Rosemead,CA
Broadview,21,Los Angeles,CA
California Department of State Hospitals - Stockton,0,Stockton,CA
California Hospital Medical Center,318,Los Angeles,CA
California Medical Facility - Psychiatric Inpatient Program,0,Vacaville,CA
California Mens Colony Hospital,0,San Luis Obispo,CA
California Rehabilitation Institute,138,Los Angeles,CA
Canyon Ridge Hospital,107,Chino,CA
Casa Colina Hospital and Centers for Healthcare,99,Pomona,CA
Catalina Island Medical Center,12,Avalon,CA
Cedars-Sinai Medical Center,880,Los Angeles,CA
Centinela Hospital Medical Center,345,Inglewood,CA
Central Valley Specialty Hospital,100,Modesto,CA
CHA Hollywood Presbyterian Medical Center,434,Los Angeles,CA
Chapman Global Medical Center,114,Orange,CA
Children's Hospital Los Angeles,379,Los Angeles,CA
Children's Hospital of Orange County,334,Orange,CA
Children's Hospital of Orange County at Mission,0,Mission Viejo,CA
Chinese Hospital,65,San Francisco,CA
Chino Valley Medical Center,126,Chino,CA
City of Hope Comprehensive Cancer Center,217,Duarte,CA
Clovis Community Medical Center,208,Clovis,CA
Coast Plaza Hospital,117,Norwalk,CA
College Hospital Cerritos,187,Cerritos,CA
College Hospital Costa Mesa,122,Costa Mesa,CA
College Medical Center,221,Long Beach,CA
Colorado River Medical Center,25,Needles,CA
Colusa Medical Center,48,Colusa,CA
Community Hospital Long Beach,125,Long Beach,CA
Community Hospital of Huntington Park,81,Huntington Park,CA
Community Hospital of San Bernardino,347,San Bernardino,CA
Community Hospital of the Monterey Peninsula,286,Monterey,CA
Community Memorial Hospital,220,Ventura,CA
Community Regional Medical Center,915,Fresno,CA
Concord Medical Center,244,Concord,CA
Contra Costa Regional Medical Center,147,Martinez,CA
Corona Regional Medical Center,238,Corona,CA
Cottage Rehabilitation Hospital,0,Santa Barbara,CA
County Of Humboldt Mental Health Branch,16,Eureka,CA
CPMC Davies Campus,223,San Francisco,CA
CPMC Mission Bernal Campus,120,San Francisco,CA
CPMC Van Ness Campus,0,San Francisco ,CA
Dameron Hospital,170,Stockton,CA
Del Amo Hospital,166,Torrance,CA
Department of State Hospitals - Atascadero,0,Atascadero,CA
Department of State Hospitals-Patton,0,Patton,CA
Desert Regional Medical Center,370,Palm Springs,CA
Desert Valley Hospital,148,Victorville,CA
Dignity Health - St. Mary Medical Center,284,Long Beach,CA
Docs Surgical Hospital,17,Los Angeles,CA
Doctors Hospital of Manteca,73,Manteca,CA
Doctors Medical Center of Modesto,447,Modesto,CA
Dominican Hospital,222,Santa Cruz,CA
DSH - Metropolitan ,976,Norwalk,CA
East Los Angeles Doctors Hospital,127,Los Angeles,CA
Eastern Plumas Health Care,75,Portola,CA
Eden Medical Center,126,Castro Valley,CA
Eisenhower Medical Center,345,Rancho Mirage,CA
El Camino Hospital Los Gatos Campus,0,Los Gatos,CA
El Camino Hospital Mountain View Campus,443,Mountain View,CA
El Centro Regional Medical Center,161,El Centro,CA
Emanate Health Foothill Presbyterian Hospital,105,Glendora,CA
Emanate Health Inter-Community Hospital,516,Covina,CA
Emanate Health Queen of the Valley Hospital,325,West Covina,CA
Emanuel Medical Center,209,Turlock,CA
Encino Hospital Medical Center,148,Encino,CA
Encompass Health Rehabilitation Hospital of Bakersfield,86,Bakersfield,CA
Encompass Health Rehabilitation Hospital of Modesto,50,Modesto,CA
Encompass Health Rehabilitation Hospital of Tustin,48,Tustin,CA
Enloe Medical Center,338,Chico,CA
Fairchild Medical Center,25,Yreka,CA
Fairmont Rehabilitation and Wellness,0,San Leandro,CA
Fairview Developmental Center,30,Costa Mesa,CA
Fern Lodge,0,Castro Valley,CA
Fontana Medical Center,626,Fontana,CA
Foothill Regional Medical Center,177,Tustin,CA
Fountain Valley Regional  Hospital and Medical Center,400,Fountain Valley,CA
Fremont Hospital,148,Fremont,CA
French Hospital Medical Center ,98,San Luis Obispo,CA
Fresno Heart & Surgical Hospital,57,Fresno,CA
Fresno Medical Center,169,Fresno,CA
Fresno Surgical Hospital,27,Fresno,CA
Garden Grove Hospital and Medical Center,167,Garden Grove,CA
Garfield Medical Center,210,Monterey Park,CA
Gateways Hospital and Mental Health Center,0,Los Angeles,CA
Glendale Memorial Hospital & Health Center,304,Glendale,CA
Glendora Oaks Behavioral Health Hospital,128,Glendora,CA
Glenn Medical Center,15,Willows,CA
Goleta Valley Cottage Hospital,28,Santa Barbara,CA
Good Samaritan Hospital,351,San Jose,CA
Good Samaritan Hospital North,64,Bakersfield,CA
Greater El Monte Community Hospital,117,South El Monte,CA
Harbor-UCLA Medical Center,428,Torrance,CA
Hazel Hawkins Memorial Hospital,168,Hollister,CA
